Date,Boys,Girls,
2015-09-23,225,220,
2015-09-24,214,178,
2015-09-25,185,184,
2015-09-26,153,115,
2015-09-27,144,109,
2015-09-28,189,180,
2015-09-29,144,169,
2015-09-30,169,179,
2015-10-01,222,195,
2015-10-02,164,158,
2015-10-03,161,167,
2015-10-04,137,134,
2015-10-05,189,171,
2015-10-06,159,165,
2015-10-07,250,223,
2015-10-08,181,166,
2015-10-09,211,173,
2015-10-10,194,162,
2015-10-11,119,115,
2015-10-12,126,129,
2015-10-13,137,125,
2015-10-14,232,200,
2015-10-15,219,219,
2015-10-16,166,153,
2015-10-17,180,158,
2015-10-18,141,103,
2015-10-19,198,198,
2015-10-20,173,163,
2015-10-21,178,149,
2015-10-22,215,209,
2015-10-23,172,189,
2015-10-24,152,146,
2015-10-25,129,117,
2015-10-26,204,182,
2015-10-27,174,168,
2015-10-28,211,187,
2015-10-29,185,162,
2015-10-30,161,178,
2015-10-31,171,181,
2015-11-01,129,123,
2015-11-02,194,214,
2015-11-03,179,178,
2015-11-04,168,176,
2015-11-05,217,216,
2015-11-06,196,183,
2015-11-07,185,164,
2015-11-08,112,113,
2015-11-09,173,187,
2015-11-10,112,107,
2015-11-11,124,134,
2015-11-12,192,170,
2015-11-13,250,240,
2015-11-14,163,162,
2015-11-15,143,134,
2015-11-16,181,176,
2015-11-17,183,163,
2015-11-18,291,240,
2015-11-19,198,171,
2015-11-20,202,181,
2015-11-21,161,151,
2015-11-22,140,148,
2015-11-23,180,188,
2015-11-24,167,190,
2015-11-25,187,193,
2015-11-26,169,141,
2015-11-27,176,173,
2015-11-28,153,177,
2015-11-29,140,110,
2015-11-30,174,182,
2015-12-01,141,127,
2015-12-02,129,154,
2015-12-03,142,128,
2015-12-04,159,174,
2015-12-05,187,169,
2015-12-06,118,118,
2015-12-07,181,174,
2015-12-08,165,165,
2015-12-09,178,161,
2015-12-10,183,145,
2015-12-11,142,133,
2015-12-12,142,119,
2015-12-13,110,120,
2015-12-14,189,183,
2015-12-15,160,146,
2015-12-16,150,165,
2015-12-17,161,122,
2015-12-18,134,115,
2015-12-19,149,139,
2015-12-20,107,128,
2015-12-21,184,177,
2015-12-22,150,129,
2015-12-23,184,165,
2015-12-24,126,138,
2015-12-25,119,105,
2015-12-26,108,112,
2015-12-27,100,68,
2015-12-28,142,142,
2015-12-29,124,117,
2015-12-30,152,132,
2015-12-31,135,119,
2016-01-01,136,138,
2016-01-02,126,95,
2016-01-03,116,96,
2016-01-04,162,166,
2016-01-05,136,112,
2016-01-06,162,159,
2016-01-07,153,138,
2016-01-08,127,96,
2016-01-09,104,98,
2016-01-10,101,99,
2016-01-11,153,171,
2016-01-12,159,131,
2016-01-13,164,116,
2016-01-14,136,105,
2016-01-15,107,90,
2016-01-16,92,90,
2016-01-17,73,71,
2016-01-18,133,137,
2016-01-19,126,105,
2016-01-20,138,147,
2016-01-21,144,148,
2016-01-22,139,137,
2016-01-23,114,118,
2016-01-24,100,97,
2016-01-25,116,109,
2016-01-26,112,106,
2016-01-27,145,158,
2016-01-28,117,127,
2016-01-29,120,154,
2016-01-30,122,95,
2016-01-31,87,93,
2016-02-01,122,116,
2016-02-02,99,98,
2016-02-03,172,133,
2016-02-04,113,115,
2016-02-05,125,98,
2016-02-06,110,116,
2016-02-07,83,90,
2016-02-08,89,86,
2016-02-09,97,93,
2016-02-10,150,147,
2016-02-11,146,115,
2016-02-12,166,143,
2016-02-13,104,101,
2016-02-14,102,76,
2016-02-15,106,110,
2016-02-16,103,118,
2016-02-17,150,154,
2016-02-18,130,112,
2016-02-19,124,121,
2016-02-20,122,91,
2016-02-21,74,71,
2016-02-22,143,147,
2016-02-23,110,109,
2016-02-24,163,136,
2016-02-25,138,121,
2016-02-26,137,137,
2016-02-27,115,98,
2016-02-28,97,65,
2016-02-29,115,95,
2016-03-01,144,128,
2016-03-02,132,109,
2016-03-03,126,107,
2016-03-04,124,136,
2016-03-05,128,111,
2016-03-06,109,100,
2016-03-07,141,129,
2016-03-08,114,97,
2016-03-09,95,97,
2016-03-10,175,165,
2016-03-11,168,151,
2016-03-12,115,126,
2016-03-13,78,76,
2016-03-14,131,145,
2016-03-15,119,131,
2016-03-16,145,127,
2016-03-17,142,128,
2016-03-18,180,154,
2016-03-19,116,100,
2016-03-20,95,91,
2016-03-21,172,148,
2016-03-22,112,146,
2016-03-23,191,172,
2016-03-24,159,135,
2016-03-25,128,123,
2016-03-26,119,129,
2016-03-27,85,70,
2016-03-28,159,112,
2016-03-29,124,104,
2016-03-30,128,127,
2016-03-31,141,118,
2016-04-01,106,111,
2016-04-02,134,118,
2016-04-03,84,110,
2016-04-04,161,160,
2016-04-05,135,126,
2016-04-06,133,112,
2016-04-07,131,117,
2016-04-08,131,92,
2016-04-09,167,138,
2016-04-10,96,91,
2016-04-11,176,172,
2016-04-12,128,137,
2016-04-13,163,153,
2016-04-14,99,104,
2016-04-15,117,100,
2016-04-16,119,91,
2016-04-17,74,75,
2016-04-18,120,115,
2016-04-19,140,98,
2016-04-20,124,119,
2016-04-21,123,124,
2016-04-22,148,130,
2016-04-23,110,113,
2016-04-24,90,63,
2016-04-25,164,153,
2016-04-26,121,104,
2016-04-27,116,132,
2016-04-28,156,113,
2016-04-29,143,140,
2016-04-30,104,113,
2016-05-01,98,111,
2016-05-02,170,155,
2016-05-03,132,118,
2016-05-04,129,161,
2016-05-05,138,139,
2016-05-06,101,116,
2016-05-07,108,102,
2016-05-08,111,102,
2016-05-09,192,178,
2016-05-10,158,108,
2016-05-11,158,134,
2016-05-12,178,153,
2016-05-13,147,148,
2016-05-14,181,142,
2016-05-15,107,108,
2016-05-16,177,159,
2016-05-17,144,147,
2016-05-18,180,146,
2016-05-19,204,185,
2016-05-20,158,166,
2016-05-21,165,169,
2016-05-22,96,108,
2016-05-23,167,133,
2016-05-24,129,134,
2016-05-25,178,158,
2016-05-26,190,174,
2016-05-27,159,162,
2016-05-28,156,101,
2016-05-29,93,106,
2016-05-30,156,123,
2016-05-31,143,141,
2016-06-01,137,135,
2016-06-02,159,164,
2016-06-03,140,173,
2016-06-04,124,117,
2016-06-05,106,88,
2016-06-06,164,160,
2016-06-07,150,131,
2016-06-08,139,143,
2016-06-09,164,152,
2016-06-10,143,140,
2016-06-11,117,152,
2016-06-12,113,88,
2016-06-13,139,135,
2016-06-14,141,149,
2016-06-15,173,156,
2016-06-16,235,189,
2016-06-17,154,131,
2016-06-18,147,152,
2016-06-19,101,82,
2016-06-20,153,142,
2016-06-21,132,136,
2016-06-22,170,142,
2016-06-23,192,182,
2016-06-24,165,142,
2016-06-25,136,135,
2016-06-26,82,92,
2016-06-27,167,139,
2016-06-28,157,114,
2016-06-29,157,152,
2016-06-30,170,164,
2016-07-01,179,153,
2016-07-02,140,118,
2016-07-03,95,81,
2016-07-04,119,107,
2016-07-05,115,97,
2016-07-06,200,175,
2016-07-07,135,141,
2016-07-08,163,149,
2016-07-09,148,130,
2016-07-10,129,122,
