Date,Zone_No,Zone_Name,Confirmed_cases,Recovered,Hospitalized,Deceased
 2020-04-11,VII,AMBATTUR,0,0,0,0
 2020-04-11,VIII,ANNA NAGAR,22,0,22,0
 2020-04-11,IX,TEYNAMPET,14,0,14,0
 2020-04-11,X,KODAMBAKKAM,21,0,21,0
 2020-04-11,XI,VALASARAVAKKAM,4,0,4,0
 2020-04-11,XII,ALANDUR,2,0,2,0
 2020-04-11,XIII,ADYAR,6,0,6,0
 2020-04-11,XIV,PERUNGUDI,6,0,6,0
 2020-04-11,XV,SOZHINGANALLUR,2,0,2,0
 2020-04-12,I,THIRUVOTTIYUR,4,0,4,0
 2020-04-12,II,MANALI,0,0,0,0
 2020-04-12,III,MADHAVARAM,3,0,3,0
 2020-04-12,IV,TONDIARPET,17,0,17,0
 2020-04-12,V,ROYAPURAM,63,0,63,0
 2020-04-12,VI,THIRU VI KA NAGAR,26,0,26,0
 2020-04-12,VII,AMBATTUR,0,0,0,0
 2020-04-12,VIII,ANNA NAGAR,22,0,22,0
 2020-04-12,IX,TEYNAMPET,14,0,14,0
 2020-04-12,X,KODAMBAKKAM,22,0,22,0
 2020-04-12,XI,VALASARAVAKKAM,4,0,4,0
 2020-04-12,XII,ALANDUR,2,0,2,0
 2020-04-12,XIII,ADYAR,6,0,6,0
 2020-04-12,XIV,PERUNGUDI,6,0,6,0
 2020-04-12,XV,SOZHINGANALLUR,2,0,2,0
 2020-04-13,I,THIRUVOTTIYUR,4,0,4,0
 2020-04-13,II,MANALI,0,0,0,0
 2020-04-13,III,MADHAVARAM,3,0,3,0
 2020-04-13,IV,TONDIARPET,17,0,17,0
 2020-04-13,V,ROYAPURAM,63,0,63,0
 2020-04-13,VI,THIRU VI KA NAGAR,26,0,26,0
 2020-04-13,VII,AMBATTUR,0,0,0,0
 2020-04-13,VIII,ANNA NAGAR,22,0,22,0
 2020-04-13,IX,TEYNAMPET,14,0,14,0
 2020-04-13,X,KODAMBAKKAM,22,0,22,0
 2020-04-13,XI,VALASARAVAKKAM,4,0,4,0
 2020-04-13,XII,ALANDUR,2,0,2,0
 2020-04-13,XIII,ADYAR,6,0,6,0
 2020-04-13,XIV,PERUNGUDI,6,0,6,0
 2020-04-13,XV,SOZHINGANALLUR,2,0,2,0
 2020-04-14,I,THIRUVOTTIYUR,4,0,4,0
 2020-04-14,II,MANALI,0,0,0,0
 2020-04-14,III,MADHAVARAM,3,0,3,0
 2020-04-14,IV,TONDIARPET,19,0,18,1
